user_name,is_win,is_draw,is_loss,kill,death,assist,total_matches,actual_win_rate,user_kda,user_kill,user_death,user_assist,kill_per_match,death_per_match,assist_per_match,match_id
갱스터,1,0,0,1,0,1,1,1.0,2.0,1,0,1,1.0,0.0,1.0,250807010514124001
긱스,1,0,0,1,1,1,1,1.0,2.0,1,1,1,1.0,1.0,1.0,250807010514124001
단솔S2겸이띠,1,0,0,1,1,0,1,1.0,1.0,1,1,0,1.0,1.0,0.0,250807010514124001
위티,1,0,0,2,0,0,1,1.0,2.0,2,0,0,2.0,0.0,0.0,250807010514124001
허혜미,1,0,0,0,0,2,1,1.0,2.0,0,0,2,0.0,0.0,2.0,250807010514124001
흑인이싸면깜찍~,1,0,0,1,0,0,1,1.0,1.0,1,0,0,1.0,0.0,0.0,250807010514124001
1엄준식,0,0,1,6,15,2,1,0.0,0.5333333333333333,6,15,2,6.0,15.0,2.0,250805171555124002
lllllllllH,0,0,1,15,10,5,1,0.0,2.0,15,10,5,15.0,10.0,5.0,250805171555124002
랜딩,0,0,1,10,12,5,1,0.0,1.25,10,12,5,10.0,12.0,5.0,250805171555124002
봄겨울가을,1,0,0,18,10,4,1,1.0,2.2,18,10,4,18.0,10.0,4.0,250805171555124002
이뚠딴,1,0,0,11,8,2,1,1.0,1.625,11,8,2,11.0,8.0,2.0,250805171555124002
황장군이야,1,0,0,7,9,7,1,1.0,1.5555555555555556,7,9,7,7.0,9.0,7.0,250805171555124002
IIIIlIIl☆,0,0,1,8,9,0,1,0.0,0.8888888888888888,8,9,0,8.0,9.0,0.0,250806194844124002
xxx,1,0,0,6,8,0,1,1.0,0.75,6,8,0,6.0,8.0,0.0,250806194844124002
사자,1,0,0,13,5,2,1,1.0,3.0,13,5,2,13.0,5.0,2.0,250806194844124002
WINGWING,1,0,0,2,3,0,1,1.0,0.6666666666666666,2,3,0,2.0,3.0,0.0,250604230858124001
신치,1,0,0,0,4,4,1,1.0,1.0,0,4,4,0.0,4.0,4.0,250604230858124001
전설,1,0,0,14,1,0,1,1.0,14.0,14,1,0,14.0,1.0,0.0,250604230858124001
Faker,1,0,0,17,3,0,1,1.0,5.666666666666667,17,3,0,17.0,3.0,0.0,250719011350125001
crazy,1,0,0,12,7,1,1,1.0,1.8571428571428568,12,7,1,12.0,7.0,1.0,250719011350125001
isabel♡,1,0,0,12,7,2,1,1.0,2.0,12,7,2,12.0,7.0,2.0,250719011350125001
배,1,0,0,8,7,4,1,1.0,1.7142857142857142,8,7,4,8.0,7.0,4.0,250719011350125001
은아가,1,0,0,3,9,2,1,1.0,0.5555555555555556,3,9,2,3.0,9.0,2.0,250719011350125001
제트업,1,0,0,8,7,5,1,1.0,1.8571428571428568,8,7,5,8.0,7.0,5.0,250719011350125001
llIllIlIllII,1,0,0,12,9,0,1,1.0,1.3333333333333333,12,9,0,12.0,9.0,0.0,250729025420124001
luenah,1,0,0,6,10,1,1,1.0,0.7,6,10,1,6.0,10.0,1.0,250729025420124001
코코볼,1,0,0,10,8,4,1,1.0,1.75,10,8,4,10.0,8.0,4.0,250729025420124001
d'0'do,0,0,1,0,10,0,1,0.0,0.0,0,10,0,0.0,10.0,0.0,250527162132124001
레닝이,1,0,0,6,0,0,1,1.0,6.0,6,0,0,6.0,0.0,0.0,250527162132124001
민지로렐로♥♡,0,0,1,0,10,0,1,0.0,0.0,0,10,0,0.0,10.0,0.0,250527162132124001
타루,1,0,0,14,0,2,1,1.0,16.0,14,0,2,14.0,0.0,2.0,250527162132124001
M249Master,0,0,1,8,11,0,1,0.0,0.7272727272727273,8,11,0,8.0,11.0,0.0,250807145617124001
SeulYUNA,1,0,0,9,11,0,1,1.0,0.8181818181818182,9,11,0,9.0,11.0,0.0,250807145617124001
가은잉♡,1,0,0,8,7,7,1,1.0,2.142857142857143,8,7,7,8.0,7.0,7.0,250807145617124001
민덩이달려,0,0,1,3,12,3,1,0.0,0.5,3,12,3,3.0,12.0,3.0,250807145617124001
생수아저씨,0,0,1,12,11,2,1,0.0,1.2727272727272727,12,11,2,12.0,11.0,2.0,250807145617124001
핏자국,1,0,0,17,5,2,1,1.0,3.8,17,5,2,17.0,5.0,2.0,250807145617124001
떕떞이,1,0,0,3,2,1,1,1.0,2.0,3,2,1,3.0,2.0,1.0,250806185753124001
몸믜,1,0,0,10,1,1,1,1.0,11.0,10,1,1,10.0,1.0,1.0,250806185753124001
한번해,1,0,0,8,3,0,1,1.0,2.6666666666666665,8,3,0,8.0,3.0,0.0,250806185753124001
