user_name,grade_ranking,season_grade_ranking,recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,solo_rank_match_score,party_rank_match_score
랜딩,22589.0,42232.0,48.333332,51.833332,52.666664,66.333336,45.161289,2451,2516
1엄준식,5752102.0,1340913.0,27.586206,36.235294,35.483871,39.055794,0.0,1400,1400
이뚠딴,28162.0,14764.0,66.666672,53.46154,47.368423,62.5,50.0,1908,2123
봄겨울가을,79402.0,123795.0,58.333332,57.333332,53.815262,69.333336,62.0,1800,2364
황장군이야,6198853.0,8476329.0,3.333333,36.833336,38.666664,47.666668,39.285713,1400,1400
사자,4.0,7.0,78.333336,59.166664,55.666668,63.0,59.666668,3681,2799
전설,140.0,100.0,95.0,58.333332,57.0,71.333336,60.333332,2086,1960
신치,50013.0,21398.0,71.666664,34.166668,24.666668,58.100559,11.0,1350,1400
crazy,13071.0,10576.0,48.333332,52.999996,54.333332,62.0,54.0,2697,3399
은아가,227662.0,65936.0,50.0,40.833332,43.333332,39.666668,42.333332,2472,1600
isabel♡,83614.0,24182.0,46.666668,57.666664,60.000004,58.0,58.666668,4243,2500
Faker,117709.0,115875.0,51.666664,60.5,59.0,71.0,66.0,2500,2500
제트업,170961.0,2878.0,46.666668,46.0,46.666668,63.0,57.666668,2275,2132
코코볼,4646.0,13606.0,100.0,64.666664,57.0,79.333336,67.0,1400,981
레닝이,1390.0,8479.0,46.666668,55.0,52.0,68.674698,54.333332,1874,3026
타루,46.0,356.0,100.0,77.5,85.333336,96.0,56.333332,2350,2350
핏자국,74.0,1218.0,100.0,75.833336,28.571428,82.0,53.19149,1893,1400
M249Master,1372878.0,236029.0,45.0,45.333336,50.666668,51.094891,40.721649,1037,1400
SeulYUNA,4334653.0,467761.0,60.000004,43.51852,0.0,45.121952,0.0,1400,1400
가은잉♡,53854.0,100435.0,43.333332,43.0,40.333332,45.666668,42.857143,1192,1425
한번해,43.0,86.0,100.0,72.727272,0.0,80.0,0.0,2146,2035
몸믜,164860.0,532672.0,45.0,47.666664,40.0,62.0,48.333332,1762,1400
떕떞이,497908.0,594675.0,58.333332,43.5,36.333336,48.666668,51.923077,1430,1400
역삼동그깽,185541.0,141932.0,48.333332,43.666668,40.333332,43.157894,46.715328,1400,1400
히히,55.0,92.0,46.666668,48.833336,0.0,56.666668,80.0,2121,1800
엠빠,677.0,2098.0,63.333332,54.166668,48.333332,60.0,52.333332,1799,1550
회민,4788.0,19129.0,91.666672,64.166664,0.0,76.666664,0.0,1400,1400
2.14솔향18ST,8237.0,27101.0,50.0,53.587444,55.752213,65.765762,0.0,2316,1800
황숏,369014.0,701653.0,20.0,42.166664,40.666668,40.0,34.0,1400,1400
유뭉이,5744121.0,612946.0,46.666668,50.0,52.0,66.0,58.333332,1645,1296
Jodia,58430.0,15995.0,93.333336,57.333332,49.666668,67.333336,46.333332,1956,1498
lIlllIlIlIlllI,307329.0,190546.0,46.666668,52.999996,52.999996,70.0,56.333332,1400,1400
그사건,82.0,278.0,51.666664,47.166668,50.666664,66.0,51.666668,2586,2542
영민,89.0,513.0,91.666672,57.833332,52.093021,68.333336,60.344826,1750,2175
고구마지단,1144665.0,127179.0,0.0,37.666668,40.0,36.776859,27.666666,1400,1400
여심폭격기최인후,433328.0,28009.0,16.666668,42.5,43.0,51.0,38.666668,1400,1400
llllIlllllIIIllI,3072973.0,348981.0,50.0,42.166664,41.0,46.907215,34.666668,1683,1400
생수아저씨,559486.0,152524.0,53.333336,50.5,37.333332,60.666668,41.333332,1653,1350
깽나미,5347.0,25459.0,100.0,80.0,0.0,100.0,66.666664,1607,1400
민덩이달려,948038.0,301946.0,51.666664,37.333332,34.0,30.333334,32.333332,1400,1400
화물연대인천지부,381900.0,201148.0,36.666668,57.833332,51.0,67.333336,50.666668,1400,1400
뽀로로롤,996599.0,136067.0,8.333334,36.333336,34.0,37.272728,52.941177,1400,1400
진재훈,4212171.0,691336.0,5.0,38.833332,38.333332,40.0,48.096886,1400,1400
화물연대부산지부,6299515.0,701422.0,5.0,28.0,26.333334,30.0,34.0,1400,1400
도룡잉,369702.0,144293.0,23.333334,38.5,39.666668,37.666668,38.666668,1400,1246
양기헌,492489.0,885577.0,46.666668,48.833332,49.0,62.0,45.333332,1400,1400
깜방,566515.0,73695.0,71.666664,62.0,59.666668,73.0,66.153847,2799,3081
구남동상남자,376336.0,96524.0,41.666668,39.666668,39.333336,45.333332,37.666668,1414,1502
트럼프,180146.0,64187.0,43.333332,42.5,41.666668,49.0,55.0,2007,2000
오또깡,209527.0,31032.0,38.333332,41.0,40.333332,52.333332,39.666668,1435,1421
가은핑핑이,146980.0,113197.0,35.0,47.166668,45.0,59.333332,49.0,1854,2219
위티,36592.0,43927.0,58.333332,53.500004,52.666664,63.333332,47.0,3961,2400
허혜미,4082.0,53256.0,48.333332,47.166668,47.666664,57.666668,48.333332,2273,1800
머루하지,76737.0,102464.0,33.333336,56.166668,53.666668,67.0,50.943398,1569,1400
플레이잼잼,69323.0,166696.0,55.263157,47.277935,0.0,0.0,47.0,1400,1400
칠보장어,68.0,1005.0,75.0,55.5,31.25,33.333332,48.333332,1654,1500
방갑숴,831565.0,223273.0,48.333332,56.833332,56.0,61.0,57.0,1713,2288
아니도링,2100.0,47.0,98.333336,51.333332,58.333332,53.666668,51.0,2047,1950
lIIlIllIlllIIIl,48465.0,24451.0,25.0,54.5,51.666664,65.666664,39.130436,1800,1828
포도유유,1748421.0,168192.0,45.0,41.833332,38.666664,0.0,38.0,1400,1269
포도우유아빠,731721.0,321457.0,46.666668,39.666668,39.666668,41.333332,38.333332,1400,1400
色女,63.0,938.0,36.666668,39.666668,38.666664,36.666668,40.0,1169,1400
여고생보직구멍,1373737.0,126962.0,16.666668,26.666668,24.333334,0.0,0.0,1554,1358
으악기,749593.0,52475.0,45.0,48.666668,43.666668,62.333332,44.0,1538,1500
정말,81.0,121.0,55.813957,55.263157,58.851677,0.0,55.555557,2999,2599
Οl나경,466297.0,137388.0,1.666667,36.0,40.333332,49.333332,42.666668,1235,1400
예천,683961.0,100314.0,43.333332,36.5,37.0,30.0,30.666666,1400,1368
따뜻하게입고다녀,75.0,147.0,76.666664,67.333336,55.333332,86.0,63.666668,2656,2000
야누스,71.0,53810.0,60.000004,61.0,55.666668,75.666664,52.666668,1500,1517
예민보스해니,17064.0,731511.0,50.0,45.833336,43.666668,48.333332,48.0,1400,1333
RedWhip,76145.0,319619.0,45.0,54.833336,53.666668,68.0,57.196968,1799,1594
lullaby~♥,104.0,721.0,96.666664,66.166672,66.666672,82.666664,67.333336,2799,3892
후후하하히히,2884545.0,1073910.0,20.0,56.333332,55.0,72.666664,41.666668,1400,1400
체하나,2025845.0,211944.0,46.666668,37.0,30.0,51.333332,36.363636,1246,1400
고도리1번,125.0,2979.0,51.666664,53.333336,52.333332,68.333336,50.666668,1799,1681
하밥이,568369.0,28572.0,63.333332,48.833336,50.0,53.666668,52.0,2799,3176
Melissa♡,225743.0,171596.0,64.705887,58.499996,0.0,68.333336,100.0,2862,1884
ceIebrity♡,12364.0,12497.0,98.333336,65.5,63.666668,78.666664,72.333336,2546,3655
조금세,16565.0,1117.0,46.666668,38.833332,44.0,74.666664,32.666668,2799,2609
lilitu,26599.0,34069.0,45.0,50.666664,47.0,61.0,48.57143,1619,2593
고말순,71447.0,9495.0,50.0,46.166668,46.333332,62.0,50.0,3020,2849
웅3잉,138.0,12293.0,75.0,57.333332,58.666664,65.666664,56.0,2870,2732
ㅆ놈,2454104.0,257441.0,43.333332,42.5,42.666668,49.333332,46.470589,1712,1515
거친,105.0,375.0,61.666668,60.666668,62.0,0.0,66.333336,2999,3057
어재,23362.0,6484.0,100.0,59.016396,57.40741,0.0,0.0,2199,2197
마루는기여워,4006.0,3755.0,45.0,63.333332,63.666664,76.333336,60.333332,2850,2678
오늘의날,2123525.0,222527.0,53.333336,42.0,39.0,52.333332,47.953217,1400,1290
[애옹],521047.0,284690.0,45.0,43.5,45.666668,55.0,51.445087,1718,1645
승찬,3957.0,122714.0,51.666664,60.166668,57.666664,73.0,60.666668,2400,3066
cosala,2684.0,6738.0,48.333332,54.5,56.333332,63.666668,57.666668,3939,2300
ㄷㄷ,134.0,88.0,55.555557,63.75,66.666672,20.0,0.0,2350,2350
수민,271.0,71.0,70.0,52.833332,50.666664,64.0,47.727272,2799,3210
창욱,737.0,116.0,95.0,61.0,55.0,77.666664,61.666668,3950,3295
myway,114.0,117.0,75.0,60.666668,56.333332,71.666664,62.666668,3888,3082
단꿀,77098.0,256845.0,38.333332,40.666668,25.333334,20.333334,36.333332,1400,1400
예슬,136.0,504.0,95.0,62.0,66.666664,74.666664,64.0,1999,2383
미소뀨,245971.0,105906.0,61.666668,31.833332,32.666664,29.032259,100.0,1400,1400
카이조,2513.0,4531.0,56.666668,49.666668,37.666668,57.0,43.0,1336,1783
우떼,182184.0,36222.0,46.666668,49.333336,48.333332,60.0,53.333332,2122,2818
정또지,79367.0,75437.0,48.333332,38.666664,37.333332,51.0,37.333332,1400,1400
너무귀여움,750332.0,128158.0,51.666664,57.5,0.0,65.333336,0.0,1400,1650
bentori,36075.0,832.0,53.333336,57.833332,58.999996,64.333336,53.666668,4217,2450
임상아,4041.0,2039.0,0.0,0.0,0.0,0.0,0.0,2762,3285
주빈,24076.0,92081.0,50.0,46.0,41.333332,58.666668,47.0,1600,1799
BeagIe,1566.0,648.0,51.666664,57.333332,60.000004,72.333336,55.0,3316,2450
천재,97.0,500.0,80.0,59.833336,58.0,71.333336,56.0,2450,2450
오또시ㅋ,98352.0,25662.0,79.166664,60.098522,68.421051,65.5914,0.0,1400,1775
살짝홀릭,185022.0,64584.0,51.666664,52.0,57.666664,51.0,56.451614,1400,1400
살짝흐림,105.0,1305.0,55.0,57.333332,59.0,67.666664,60.0,2400,2400
살짝테크,106570.0,77369.0,53.333336,55.5,55.333336,67.666664,40.384617,1500,2091
